,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Albania,0.3764822794902474,-0.7783327869509454,-0.5611442305395263,-2.371591576545751,-0.0957678415473779,0.1857391322730886,1.14102591502659,-0.37077948123764576,-0.40639148990675644,0.2665156602755666,0.6799441227337131,-0.3746599408714861,-0.1869798382231638,-1.2501406293171637,-1.051078830665516,0.49484037890736304,0.5172609837348949,-2.0372467852430765,3.046118865610579,0.6721130414482684
Armenia,1.8116476123576437,-1.1758398902896576,1.7576691227953318,-0.626674091201995,-1.5649332432113694,-0.16782629277785177,-0.46531479079818533,-1.7267865106516247,0.5961771564025129,-0.9745283193084302,-1.6081206040532274,0.8430330479415734,-1.0897434439521838,1.2929757290938246,0.16408745739056432,-1.5234486809385612,0.3346584929600722,-0.5796882969509577,0.6227005593924863,1.161633540297203
Australia,-1.0238149079498098,0.09639400720397197,0.27375513111619126,-0.46817713053057736,0.7337692901476818,0.3681626774423954,-1.0100036429228658,0.5741616332494206,0.6990276366331356,-0.7959125149726225,-0.19207895345851939,0.39516189659171197,-0.133265813702147,0.3737021563275195,0.5463077243597165,0.29014333528251907,0.31495781968208486,-0.6026447049079239,-0.48590440981058836,-0.281179609980663
Austria,-0.6500918515460826,-0.15157608923886445,0.004580231052221641,-0.09477306843735515,0.5190119880174634,-1.4922325459357082,-0.7961290708351663,-0.4208109510426786,0.228652357525704,-0.6667024313717357,-0.8466424021349718,0.3789293308483649,-0.04785061426575463,-1.9265426774979681,1.7494225585127707,-0.9230337997626743,0.3284201161556747,-1.1067697570783124,-1.0623307914673534,1.3699588773078664
Azerbaijan,2.3178236233798573,-2.2107360763615596,1.02346822992459,-1.2719693509913423,1.7232299273039626,-1.5607012444444885,-0.3009036759167288,1.7408066067363246,1.045809247931169,1.6643527554151791,1.1116090191827788,0.5640535028136984,0.2572002703539119,0.31376799123506205,-0.07913978416983697,1.9560856783784115,-0.7618362332103592,-0.2981800787684834,-0.03146105195145796,-0.19413401336565647
Belarus,0.6594295703752621,2.143826990501644,-1.4345157646665696,-0.7561073262517167,0.17998302631423632,-1.0264422930696793,0.6432742174896267,0.722570098693608,-1.1068186293863773,-0.793963158257598,-0.17800839440162178,2.6746790227366266,1.1100129049756704,0.03466516481203972,-0.35314185574166007,-0.6528861007611195,-1.2755164007437723,0.4234947717137568,1.5477878102703233,1.3796062652754888
Belgium,-0.9742455565709727,-0.004487200442417395,1.2055630037810674,0.7203017974568526,0.02336714421498706,-0.5897663634375783,0.4394127935470595,0.8321830116321872,0.057515523243884537,0.8055876793692093,0.15319645422649522,0.4674041861879576,0.09390279956348238,-0.665167392104761,-0.1242023451510461,-0.3164298244491026,3.0012226751359132,-0.29275239695275496,-0.3010841843282718,-0.6624594000089605
Bosnia and Herzegovina,0.8344641978414885,-0.6573819156915106,-1.8657645694396077,0.26486609843610615,0.06907977107748277,0.9891340777537638,-1.4560638242612385,-1.8512214724713654,0.5811366910853017,0.15194993927497036,-0.20531822755564355,-0.38845565876544047,2.344498065191794,1.7601923821892143,0.6528342775748842,-0.034295183507712546,0.731093198277711,0.7560790413498069,0.12991126135928913,-0.048091790257142865
Bulgaria,0.774508451515203,-0.8464691900220536,-1.0292594535972635,-0.008498290935065725,-0.7297828155570476,-0.295675303900366,0.594172021384503,1.6911455670424445,-0.8395499269046878,-2.367905264799661,0.3870628175555419,-0.690942258805869,-0.2125801744715933,-0.6626938772553318,-1.8319389555852459,-2.120324560173771,0.6781612531130532,0.2417315769023955,-0.6399927621511183,0.1883053595267113
Croatia,0.4999538570091164,-0.15824711389651644,-1.3502911243582028,0.5931093609928905,-0.8082139778716699,0.11339784679431879,-0.5066518624019807,-0.8356260850024422,0.8910038689176587,0.6458969544845564,-1.0186600291181758,0.36980988384028163,-0.7395533587786591,-0.9998630509469059,-0.24700101974695732,0.11580473579217242,0.11994938209084026,2.004924893006264,0.031186959181577833,-1.9716268916240773
Cyprus,-1.113006393464557,-1.0434379220058159,0.6564703141357803,0.5586564794431639,1.4667943943457595,0.5465768978387453,-2.6867536463234925,1.3454668086790957,-1.4809011504175484,-1.3744308007066777,0.87287660490353,0.6332128603528415,0.9039116302878285,-0.9454469378197792,-0.2813692110097704,-0.7020217998047494,-0.03916310550102157,0.8731875286449936,0.896676017363212,-1.2972802054850996
Czechia,-0.31474880101726455,-0.02249803656181153,0.16451880718476938,1.2451609488750324,-0.2737947723536007,-0.5594911904896265,0.1970102153836587,-0.2687398147167604,-1.9908921378645916,0.18943826418123041,-0.1878210230975175,-0.554187652435874,1.998645467127433,1.5386817313991945,0.6849219133436277,1.1202741478885867,0.8072293791454571,0.006694714344057036,0.30011931393078434,0.9400305031101772
Denmark,-1.0167372637034529,-0.5250997484289639,-0.4488332300408778,-0.4651733986113217,-1.141551214315472,0.33808096802914167,0.682990241793843,1.9335479849207493,1.2256835906220698,-0.06693495396616861,-0.9684933241063195,1.026080764462941,1.6767814419809959,0.978498919261779,0.36904586981161597,1.6776336030815417,0.7623296969012507,0.34447113304318794,0.0638282621054708,0.5564567095026948
